Object Name,Processed Data,Raw RGB,Raw RGBD,16k laser scan,64k laser scan,512k laser scan
070-a_colored_wood_blocks,Processed (.tgz),RGB (.tgz),RGBD (.tgz),16k,64k,512k
070-b_colored_wood_blocks,N/A1,N/A1,N/A1,16k,64k,512k
071_nine_hole_peg_test,Processed (.tgz),RGB (.tgz),RGBD (.tgz),16k,64k,512k
072-a_toy_airplane,Processed (.tgz),RGB (.tgz),RGBD (.tgz),16k,64k,512k
072-b_toy_airplane,Processed (.tgz),RGB (.tgz),RGBD (.tgz),16k,64k,512k
072-c_toy_airplane,Processed (.tgz),RGB (.tgz),RGBD (.tgz),16k,64k,512k
072-d_toy_airplane,Processed (.tgz),RGB (.tgz),RGBD (.tgz),16k,64k,512k
072-e_toy_airplane,Processed (.tgz),RGB (.tgz),RGBD (.tgz),16k,64k,512k
072-f_toy_airplane,Processed (.tgz),RGB (.tgz),RGBD (.tgz),N/A1,N/A1,N/A1
072-g_toy_airplane,Processed (.tgz),RGB (.tgz),RGBD (.tgz),N/A1,N/A1,N/A1
072-h_toy_airplane,Processed (.tgz),RGB (.tgz),RGBD (.tgz),N/A1,N/A1,N/A1
072-i_toy_airplane,Processed (.tgz),RGB (.tgz),RGBD (.tgz),N/A1,N/A1,N/A1
072-j_toy_airplane,Processed (.tgz),RGB (.tgz),RGBD (.tgz),N/A1,N/A1,N/A1
072-k_toy_airplane,Processed (.tgz),RGB (.tgz),RGBD (.tgz),N/A1,N/A1,N/A1
073-a_lego_duplo,Processed (.tgz),RGB (.tgz),RGBD (.tgz),16k,64k,512k
073-b_lego_duplo,Processed (.tgz),RGB (.tgz),RGBD (.tgz),16k,64k,512k
073-c_lego_duplo,Processed (.tgz),RGB (.tgz),RGBD (.tgz),16k,64k,512k
073-d_lego_duplo,Processed (.tgz),RGB (.tgz),RGBD (.tgz),16k,64k,512k
073-e_lego_duplo,Processed (.tgz),RGB (.tgz),RGBD (.tgz),16k,64k,512k
073-f_lego_duplo,Processed (.tgz),RGB (.tgz),RGBD (.tgz),16k,64k,512k
073-g_lego_duplo,Processed (.tgz),RGB (.tgz),RGBD (.tgz),16k,64k,512k
073-h_lego_duplo,Processed (.tgz),RGB (.tgz),RGBD (.tgz),N/A1,N/A1,N/A1
073-i_lego_duplo,Processed (.tgz),RGB (.tgz),RGBD (.tgz),N/A1,N/A1,N/A1
073-j_lego_duplo,Processed (.tgz),RGB (.tgz),RGBD (.tgz),N/A1,N/A1,N/A1
073-k_lego_duplo,Processed (.tgz),RGB (.tgz),RGBD (.tgz),N/A1,N/A1,N/A1
073-l_lego_duplo,Processed (.tgz),RGB (.tgz),RGBD (.tgz),N/A1,N/A1,N/A1
073-m_lego_duplo,Processed (.tgz),RGB (.tgz),RGBD (.tgz),N/A1,N/A1,N/A1
076_timer,Processed (.tgz),RGB (.tgz),RGBD (.tgz),16k,64k,512k
077_rubiks_cube,Processed (.tgz),RGB (.tgz),RGBD (.tgz),16k,64k,512k
